PROMEDIO;STD;APRO_N1;APRO_N2;APRO_N3;APRO_N4;APRO_N5;APRO_N6;APRO_N7;APRO_N8;PERD_N1;PERD_N2;PERD_N3;PERD_N4;PERD_N5;PERD_N6;PERD_N7;PERD_N8;RETIROS;STATUS
12,81;4,69;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
13,47;4,15;5;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2
16,33;1,78;7;7;5;5;7;5;5;7;1;0;1;0;0;0;0;0;0;1
14,26;2,80;7;3;3;3;2;0;0;0;3;6;3;0;0;0;0;0;0;1
14,90;1,47;6;7;7;8;7;5;5;2;1;4;0;0;2;3;1;0;0;1
14,26;1,03;6;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
14,95;1,68;7;6;5;5;3;1;0;0;3;4;1;1;0;0;0;0;0;1
15,13;1,09;5;5;6;5;1;0;0;0;1;1;1;1;0;0;0;0;0;1
12,41;2,13;5;3;0;0;0;0;0;0;3;5;1;0;0;0;0;0;0;1
12,78;3,10;3;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;2
11,48;4,20;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2
16,14;1,67;6;5;6;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1
14,85;2,69;5;3;5;0;0;0;0;0;1;4;0;0;0;0;0;0;0;1
17,11;1,42;7;7;5;5;7;5;5;2;0;0;0;0;0;1;0;0;0;1
13,39;3,75;6;2;1;1;0;0;0;0;1;5;2;0;0;0;0;0;0;1
14,20;1,42;7;5;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2
12,15;3,34;4;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;2
0,03;0,00;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;2
15,89;1,96;6;7;8;8;6;5;5;5;3;1;1;0;0;0;0;1;1;1
13,31;3,62;5;4;4;1;0;0;0;0;1;4;3;1;0;0;0;0;0;1
14,62;0,75;6;5;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
11,88;3,51;7;7;5;1;0;0;0;0;1;6;1;4;0;0;0;0;0;2
12,24;2,90;3;0;0;1;0;0;0;0;6;2;0;0;0;0;0;0;0;2
16,31;1,69;4;5;5;5;4;0;0;0;0;1;1;0;0;0;0;0;0;1
4,63;1,13;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;2
15,56;3,23;8;3;4;5;5;1;0;0;2;4;0;0;0;0;0;0;0;1
15,50;1,32;5;5;6;6;1;0;0;0;0;1;1;1;0;0;0;0;0;1
16,66;1,49;5;5;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1
2,11;1,68;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;2
13,33;3,01;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2
11,09;4,17;5;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;2
11,38;4,72;7;7;3;0;0;0;0;0;3;9;5;0;1;0;0;0;0;2
15,85;1,95;9;4;6;6;6;4;0;0;0;1;1;0;0;1;0;0;0;1
13,67;0,63;6;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2
15,04;2,07;7;6;7;5;6;5;5;6;2;2;0;0;1;0;0;2;0;1
13,71;2,44;6;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;2
12,11;4,85;6;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2
15,22;3,08;7;5;1;3;2;0;0;0;2;1;3;0;0;0;0;0;0;2
15,10;1,99;7;6;7;5;6;5;5;7;1;6;1;0;0;2;1;0;0;1
4,21;1,14;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;2
14,45;2,14;6;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1
15,66;1,95;7;7;6;5;5;5;1;0;2;4;0;1;0;0;0;0;0;1
16,27;1,33;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13,56;3,30;5;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2
10,18;5,45;5;0;0;0;0;0;0;0;4;1;0;1;0;0;0;0;0;2
13,12;2,26;5;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2
12,57;4,27;5;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;1
16,42;1,82;8;4;8;9;5;5;8;6;0;0;1;0;0;0;0;1;0;1
16,32;2,65;8;5;7;8;6;5;8;5;0;0;2;0;0;0;0;0;2;1
14,42;3,27;6;4;4;2;1;0;0;0;1;3;1;0;0;0;0;0;0;1
16,91;1,18;6;5;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
14,94;1,04;6;5;6;5;2;0;0;0;3;0;0;2;2;0;0;0;0;1
15,25;2,51;7;6;7;8;5;5;5;6;2;3;2;2;0;0;0;1;0;1
16,61;2,39;7;6;8;8;4;5;5;5;2;1;0;1;0;0;0;1;1;1
13,63;1,06;6;3;1;0;0;0;0;0;4;4;0;0;0;0;0;0;0;2
15,07;0,78;5;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1
15,70;1,69;7;6;7;5;6;5;5;6;0;2;1;0;0;0;1;1;0;1
15,14;2,03;7;7;5;5;7;5;5;1;2;0;0;0;0;3;0;0;0;1
12,32;3,64;5;3;1;3;0;0;0;0;2;5;1;0;0;0;0;0;0;1
15,63;1,45;5;5;6;6;5;0;0;0;1;1;0;0;1;0;0;0;0;1
15,72;1,06;7;4;6;6;6;5;5;0;2;0;0;1;0;0;0;0;0;1
15,47;1,47;6;5;5;3;1;0;0;0;1;0;0;0;0;0;0;0;0;1
15,70;1,63;7;7;6;5;6;5;2;2;0;5;4;0;0;1;0;0;0;1
15,57;2,11;7;7;6;5;6;5;5;0;3;3;0;0;1;0;0;0;0;1
14,57;2,19;7;5;6;1;1;0;0;0;1;1;2;1;0;0;0;0;0;2
16,25;1,68;8;4;6;6;7;5;3;0;0;1;1;0;1;0;0;0;0;1
14,61;2,12;5;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2
14,34;0,80;7;7;5;3;5;1;0;0;1;5;3;4;0;0;0;0;0;1
15,36;1,76;6;7;7;8;7;5;5;6;0;0;2;0;1;0;0;4;0;1
15,65;1,48;7;6;7;7;6;5;5;2;0;0;2;0;0;0;0;0;0;1
17,31;0,68;8;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
7,40;3,61;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
15,50;1,00;5;5;6;6;6;2;0;0;1;0;0;0;0;0;0;0;0;1
14,94;2,54;5;4;6;5;4;1;0;0;2;1;1;2;0;1;0;0;0;1
1,56;1,10;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
14,35;1,49;5;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1
14,68;1,72;8;5;6;6;7;2;0;0;4;4;1;2;1;0;0;0;0;1
15,57;2,95;5;3;4;5;4;0;0;0;0;5;2;0;0;0;0;0;0;1
10,65;2,38;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;2
15,66;1,20;7;7;5;5;7;5;5;0;1;0;0;0;2;0;0;0;0;1
15,00;2,76;7;6;7;5;6;5;5;0;2;9;1;0;0;0;0;1;0;1
14,03;3,05;7;7;6;5;6;4;4;2;2;3;4;0;1;2;1;0;0;1
12,93;3,10;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1
15,63;1,59;7;6;7;6;6;5;5;0;0;2;1;1;1;0;0;0;0;1
14,61;2,50;7;6;7;5;6;5;4;0;1;0;1;2;1;3;1;0;0;1
15,74;1,01;5;2;5;6;7;5;5;3;0;0;0;0;0;0;0;0;0;1
12,86;5,14;3;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1
15,81;1,77;6;5;5;5;1;0;0;0;0;1;1;0;0;0;0;0;0;1
13,69;2,27;7;4;2;2;1;1;0;0;3;1;7;0;0;0;0;0;0;2
11,96;3,65;4;3;1;1;0;0;0;0;3;3;5;1;0;0;0;0;0;2
11,91;4,64;5;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2
13,92;3,68;5;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
14,13;0,75;4;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1
11,20;3,35;3;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;2
16,17;1,71;7;6;7;5;6;5;5;6;0;1;0;0;0;0;0;1;0;1
13,07;3,20;5;3;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;1
14,77;1,25;7;7;6;6;5;0;0;0;1;3;1;0;1;0;0;0;0;1
15,84;2,12;7;6;7;5;6;5;5;7;2;3;1;0;1;0;0;0;0;1
15,35;2,01;5;5;3;1;1;1;0;0;2;2;0;0;0;0;0;0;0;1
14,26;3,22;7;5;7;3;1;0;0;0;1;4;1;3;0;0;0;0;0;2
15,46;1,29;7;6;8;8;6;5;5;6;0;0;1;0;0;0;1;2;0;1
12,53;3,86;7;6;4;0;1;0;0;0;8;3;2;0;0;0;0;0;0;2
7,97;3,81;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;2
15,74;1,56;7;7;5;5;7;5;4;0;4;0;0;0;2;4;0;0;0;1
15,67;1,93;5;4;6;6;7;4;0;0;0;2;1;0;0;0;0;0;0;1
14,61;1,34;7;6;7;5;5;5;4;0;4;3;2;0;0;2;2;0;0;1
15,50;1,15;7;6;8;8;6;5;5;6;0;1;0;0;0;0;0;1;0;1
1,99;0,65;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
11,30;5,24;5;3;0;1;0;0;0;0;0;3;3;0;0;0;0;0;0;2
16,25;1,78;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
15,10;1,43;5;5;6;2;0;0;0;0;0;0;1;2;2;0;0;0;0;2
16,90;1,40;5;5;6;6;6;5;0;0;1;0;0;0;0;0;0;0;0;1
13,05;2,83;4;0;0;0;0;0;0;1;4;2;0;0;0;0;0;0;0;2
15,93;1,41;1;2;3;6;6;5;5;6;0;0;0;0;0;0;0;1;0;1
16,13;1,68;7;4;6;6;7;5;0;0;3;2;0;0;1;0;0;0;0;1
15,71;1,35;6;7;7;9;7;5;5;6;1;1;0;0;0;0;0;1;0;1
14,22;1,34;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
8,75;4,04;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2
15,75;2,44;7;6;7;6;6;5;5;3;3;3;1;0;0;0;0;0;0;1
16,88;1,72;5;5;6;6;6;4;1;0;0;0;1;0;1;0;0;0;0;1
16,01;1,30;7;7;5;5;7;5;5;7;0;0;0;0;0;2;0;0;0;1
15,78;1,15;5;5;6;6;6;5;0;0;0;0;1;1;0;0;0;0;0;1
12,16;2,73;4;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;1
16,14;2,73;7;6;7;5;6;5;4;0;0;1;2;2;1;0;0;0;0;1
11,82;6,36;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
14,28;1,05;6;3;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2
14,26;2,07;8;3;2;2;1;1;0;0;1;1;2;1;0;0;0;0;0;2
16,05;2,60;7;6;7;5;6;5;5;6;3;3;0;0;1;0;0;1;0;1
15,64;2,33;5;5;6;6;2;0;0;0;0;0;0;0;4;2;0;0;0;2
17,34;1,49;8;4;6;6;6;5;3;0;0;0;1;0;1;0;0;0;0;1
14,17;1,97;7;7;5;1;1;0;0;0;1;3;0;7;0;0;0;0;0;1
16,13;2,17;7;6;7;6;7;5;5;6;1;3;0;2;0;1;0;1;0;1
15,31;1,05;5;5;6;6;6;1;0;0;0;0;0;2;1;0;0;0;0;1
16,22;1,36;7;6;8;8;5;7;5;6;0;0;0;0;0;0;0;1;0;1
14,77;2,15;6;7;7;9;5;5;5;1;2;2;4;0;1;0;0;0;0;2
14,59;2,48;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
11,60;3,32;4;2;0;0;0;0;0;0;3;3;1;1;0;0;0;0;0;1
16,26;2,00;5;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
12,64;3,23;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1
12,85;4,02;6;3;1;0;0;0;0;0;3;2;1;0;0;0;0;0;0;1
15,65;1,20;8;4;6;6;6;5;5;0;0;0;0;2;1;0;0;0;0;1
14,52;1,37;6;3;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1
1,98;1,46;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;2
15,09;1,07;5;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
12,04;4,12;4;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;2
15,50;1,04;5;5;6;6;6;5;0;0;0;1;0;0;0;0;0;0;0;1
15,45;0,93;5;5;6;6;6;0;0;0;0;0;0;1;0;0;0;0;0;1
8,41;5,42;5;1;0;0;0;0;0;0;2;10;2;0;0;0;0;0;0;2
15,77;1,67;8;5;6;5;6;5;4;0;1;0;2;0;0;0;1;0;0;1
14,33;3,14;6;3;3;0;0;0;0;0;0;3;2;0;0;0;0;0;0;1
14,92;1,44;6;5;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
14,18;1,31;7;0;0;1;0;0;0;0;1;2;1;0;0;0;0;0;0;2
10,95;1,89;2;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;2
14,14;2,64;8;4;5;5;3;0;0;0;4;3;4;0;0;0;0;0;0;1
6,89;1,83;2;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;2
15,65;0,99;5;5;6;6;6;5;3;0;0;0;0;0;0;1;0;0;0;1
16,22;1,82;7;6;8;8;5;7;5;6;2;0;1;0;0;0;0;1;0;1
18,09;0,80;6;5;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
13,84;2,67;6;3;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2
13,70;1,97;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
0,99;0,62;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;2
14,98;1,19;7;5;8;5;6;5;5;0;0;2;0;1;2;0;0;0;0;1
15,43;1,94;7;7;6;5;6;5;4;0;3;5;1;0;1;0;0;0;0;1
16,34;1,41;7;6;8;8;5;7;5;5;0;0;0;0;0;0;0;0;0;1
13,85;4,16;5;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;2
14,44;2,64;5;3;3;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2
15,96;1,34;5;5;6;6;7;5;0;0;0;1;0;0;2;0;0;0;0;1
16,30;2,37;7;6;7;5;6;5;5;4;2;1;0;1;0;0;0;0;0;1
14,98;1,28;5;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1
11,73;5,51;3;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1
12,17;3,24;3;1;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2
7,79;3,68;1;0;0;0;0;0;0;0;14;2;0;0;0;0;0;0;0;2
10,99;4,78;5;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;1
11,53;4,49;6;2;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;1
15,59;2,26;6;7;7;8;7;5;5;6;2;1;2;2;0;0;0;1;0;1
16,31;1,93;7;6;7;5;6;5;5;6;0;0;2;0;0;0;0;1;0;1
2,19;0,83;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
15,94;1,63;8;4;6;6;6;5;5;0;0;0;0;0;1;1;0;0;0;1
12,44;2,51;4;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2
12,44;3,94;6;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2
15,45;1,44;5;5;6;6;6;4;1;0;0;0;0;0;2;1;0;0;0;1
16,58;1,35;7;6;8;8;5;7;5;4;0;0;0;0;0;0;0;1;0;1
14,93;2,47;7;7;7;5;6;5;5;1;0;2;1;0;1;2;0;1;1;1
15,50;2,29;6;7;7;8;6;5;5;6;2;2;2;1;0;0;0;1;0;1
16,17;1,21;6;5;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
15,03;1,63;5;5;6;6;7;4;0;0;0;2;0;1;1;0;0;0;0;1
7,83;1,57;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
13,79;3,35;4;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
14,13;2,77;7;6;7;5;6;5;5;0;2;1;1;5;1;2;2;0;0;1
15,57;1,58;5;4;6;6;3;1;0;0;1;1;1;0;0;0;0;0;0;1
3,86;0,92;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
16,34;2,29;7;6;7;8;5;5;5;7;0;2;1;2;0;0;0;0;0;1
16,09;1,08;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
14,41;2,47;5;4;5;0;0;0;0;0;3;3;0;0;0;0;0;0;0;1
17,17;1,05;7;7;5;5;7;5;5;7;0;0;0;0;0;0;0;0;0;1
15,08;1,27;7;5;6;6;6;5;3;0;6;0;0;2;0;1;0;0;0;1
16,78;1,23;7;6;7;5;6;5;5;7;0;0;0;0;0;0;0;0;0;1
14,78;1,79;8;4;5;6;3;0;0;0;1;2;2;0;0;1;0;0;0;1
15,01;1,71;5;5;6;0;1;0;0;0;1;0;2;1;0;0;0;0;0;1
12,98;3,74;4;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;2
11,00;4,18;5;2;1;0;0;0;0;0;8;2;1;0;0;0;0;0;0;2
12,29;5,70;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
15,04;1,35;6;5;6;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1
16,01;1,27;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
15,53;2,60;5;5;6;6;6;4;0;0;0;0;0;2;1;1;0;0;0;1
13,60;3,63;5;3;2;0;0;0;0;0;1;5;1;0;0;0;0;0;0;1
11,95;3,01;5;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;2
14,22;2,42;8;5;5;5;6;1;0;0;3;1;2;4;0;0;0;0;0;1
15,70;1,09;6;5;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;1
16,14;1,29;7;6;7;8;5;5;5;7;0;0;1;0;0;0;2;0;0;1
15,25;1,07;8;4;6;6;6;5;4;0;0;0;0;2;1;2;0;0;0;1
15,59;2,12;7;7;6;5;6;5;3;0;2;4;0;0;1;1;0;0;0;1
13,77;3,52;7;5;8;4;5;5;2;0;0;1;0;1;8;2;0;0;0;1
11,50;2,97;5;2;0;0;0;0;0;0;2;7;2;0;0;0;0;0;0;1
14,67;3,12;5;3;4;4;3;0;0;0;1;4;0;1;0;0;0;0;0;2
14,05;2,67;5;4;1;3;1;0;0;0;1;2;5;0;0;0;0;0;0;2
13,97;4,14;5;4;5;4;2;0;0;0;0;4;1;1;0;1;0;0;0;1
15,04;1,79;7;7;5;6;7;5;2;0;0;3;2;1;1;0;0;0;0;1
16,65;0,92;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13,52;1,99;4;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1
14,16;2,81;5;4;2;0;0;0;0;0;1;3;0;0;0;0;0;0;0;2
15,68;1,70;7;6;8;8;5;7;5;4;0;0;1;0;0;0;0;1;0;1
8,73;2,74;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;2
15,04;0,75;5;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
15,42;1,18;5;4;6;6;1;0;0;0;0;2;0;0;0;0;0;0;0;1
15,98;1,71;7;6;7;8;6;5;8;7;1;1;0;0;0;0;0;0;0;1
8,74;4,74;6;0;0;0;0;0;0;0;3;6;0;0;0;0;0;0;0;2
13,36;4,24;6;2;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;2
13,36;2,34;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2
12,29;4,01;6;3;0;0;0;0;0;0;4;1;0;0;0;0;0;0;3;2
6,99;2,83;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;2
13,23;2,78;5;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2
13,85;1,50;5;1;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;1
13,71;3,30;5;5;2;1;1;0;0;0;4;4;2;0;1;0;0;0;0;1
16,60;1,42;7;7;5;5;7;5;5;7;0;0;0;0;0;0;1;0;0;1
15,37;1,27;8;4;6;6;5;3;0;0;0;3;0;2;0;0;0;0;0;1
14,58;1,86;8;5;6;4;1;1;0;0;4;1;3;0;0;0;0;0;0;1
14,41;2,83;5;3;4;1;0;0;0;0;2;5;1;0;0;0;0;0;0;1
6,99;5,01;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2
15,71;1,66;5;4;6;0;1;0;0;0;1;1;2;0;0;0;0;0;0;1
13,13;5,35;7;4;1;0;0;1;0;0;4;1;3;0;1;0;0;0;0;2
9,86;4,56;4;0;0;0;0;0;0;0;9;3;0;0;0;0;0;0;0;2
14,84;3,30;5;4;4;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2
8,46;5,64;2;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
15,91;1,78;4;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
15,96;1,44;7;6;7;9;5;5;5;7;0;0;1;0;0;0;0;0;0;1
13,38;3,11;7;6;5;0;1;0;0;0;2;8;2;0;0;0;0;0;0;2
11,86;2,31;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2
15,80;0,84;6;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;2
8,06;5,77;4;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;2
14,48;2,20;7;4;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2
15,36;1,42;7;6;7;5;6;5;5;1;0;0;0;0;1;3;2;0;0;1
15,58;1,48;6;5;2;1;0;0;0;0;1;2;0;0;0;0;0;0;0;1
14,95;1,00;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
14,73;2,15;6;3;0;0;1;0;0;0;5;1;0;0;0;0;0;0;0;2
13,77;2,87;5;5;3;0;0;0;0;0;1;3;2;0;0;0;0;0;0;1
13,05;4,20;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2
14,04;1,96;6;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1
12,28;3,97;5;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
